name,Fermeture_Estivale,colors,longitude,latitude
Centre communal d'action sociale de Nantes (CCAS),Ouvert,green,-1.5605628,47.2199871
La MAJ - Maison Accueil de Jour,Ouvert,green,-1.5351675,47.2197841
Accueil de jour pour femmes,Ouvert,green,-1.5774896,47.2292896
Un brin de causette,Fermé,red,-1.5596015999999508,47.22007740000001
Bains-douches municipaux,Ouvert,green,-1.5505309000000125,47.2131656
L'écoute de la rue,Ouvert,green,-1.610265199999958,47.2056863
La R'ssource,Fermé,red,-1.5317069,47.2207951
Solidarité FemmeS Loire-Atlantique,Ouvert,green,-1.5573344,47.220567
Chorale au Clair de la Rue,Fermé,red,-1.5645682,47.2242829
Laverie HEPDALE,Fermé,red,-1.562093,47.1844507
Pop'fringues,Fermé,red,-1.5750925,47.2049422
Saint Vincent de Paul Nantes,Fermé,red,-1.5884757,47.20469740000001
Espace solidaire Madeleine - Fripes et Bidules,Fermé,red,-1.5508359,47.2102435
Unité locale de Nantes Croix-Rouge,Fermé,red,-1.5044293,47.2497354
La Halle aux Bagages,Modification,orange,-1.5877196,47.1989434
Centre de distribution Dalby,Fermé,red,-1.5322008,47.2215247
Centre de distribution Gustave Roch,Ouvert,green,-1.5530084,47.2022633
Centre de distribution Saint-Sébastien-sur-Loire,Fermé,red,-1.5257933,47.1966039
Espace Solidarité Secours populaire Nantes,Ouvert,green,-1.565094,47.2270395
Vérité Partage,Fermé,red,-1.5489481,47.2049851
Espace Jean Rodhain,Fermé,red,-1.5733611,47.2217663
Centre Beau-Rivage,Ouvert,green,-1.5129533,47.2187575
Centre Maternel Saint-Luc,Ouvert,green,-1.5797183,47.2173399
PASS Jean-Guillon,Ouvert,green,-1.5581977,47.2099696
CSAPA,Ouvert,green,-1.5563553,47.2255751
CAARUD L'Acôthé,Ouvert,green,-1.5710421999999653,47.2096825
L’entr’ACT,Ouvert,green,-1.5377971,47.2141756
AIDES lutte contre le sida,Ouvert,green,-1.5491633999999976,47.2110329
CEGIDD Nantes,Ouvert,green,-1.5581977,47.2099696
Maison de quartier LA MANO,Ouvert,green,-1.5731331,47.2617321
Alcooliques Anonymes- Le Ranzay,Ouvert,green,-1.528897700000016,47.2497805
Alcooliques Anonymes - Mangin,Ouvert,green,-1.5412208999999848,47.2035756
Société Française de la Croix Bleue - Section de Nantes,Ouvert,green,-1.580234,47.2099742
Sanitaire Cellier,Ouvert,green,-1.39247410410928,47.2967550262871
Sanitaire Vieux Doulon,Ouvert,green,-1.50276859414071,47.2349401485852
Sanitaire Marrière,Ouvert,green,-1.53285244350403,47.2343938752821
Sanitaire Grand Blottereau,Ouvert,green,-1.50877933912959,47.2274986071001
