catégorie,Nbre_de_services,Service fermé,Part de service fermé,ouvert
Conseil administratif,281,97.0,34.5,184.0
Accompagnement à l'emploi,134,34.0,25.4,100.0
Ordinateur,132,50.0,37.9,82.0
Activités,131,64.0,48.9,67.0
Permanence juridique,130,66.0,50.8,64.0
Formation français,126,81.0,64.3,45.0
Accompagnement social,122,32.0,26.2,90.0
Psychologie,88,29.0,33.0,59.0
Suivi grossesse,81,10.0,12.3,71.0
Bibliothèque,81,35.0,43.2,46.0
Colis Alimentaire,78,53.0,67.9,25.0
Soins enfants,77,23.0,29.9,54.0
Vêtements,74,48.0,64.9,26.0
Atelier numérique,71,35.0,49.3,36.0
Dépistage,68,12.0,17.6,56.0
Domiciliation,63,4.0,6.3,59.0
Ecrivain public,61,35.0,57.4,26.0
Conseil logement,58,12.0,20.7,46.0
Soutien scolaire,50,30.0,60.0,20.0
Addiction,46,6.0,13.0,40.0
Généraliste,38,5.0,13.2,33.0
Magasin solidaire,35,22.0,62.9,13.0
Vaccination,28,5.0,17.9,23.0
Restauration assise,27,14.0,51.9,13.0
Sport,27,13.0,48.1,14.0
Conseil handicap,25,1.0,4.0,24.0
Epicerie AideSociale,24,10.0,41.7,14.0
Bien-être,23,10.0,43.5,13.0
Infirmerie,22,2.0,9.1,20.0
Prise,22,14.0,63.6,8.0
Douche,18,9.0,50.0,9.0
Accueil de jour,15,8.0,53.3,7.0
Dentaire,15,3.0,20.0,12.0
Laverie,13,6.0,46.2,7.0
Téléphones,8,2.0,25.0,6.0
Chantier d'insertion,8,3.0,37.5,5.0
Distribution alimentaire,5,1.0,20.0,4.0
Bagagerie,3,,,
Garde d'enfants,2,1.0,50.0,1.0
Hébergement d'urgence,2,,,
Hébergement à long terme,1,,,
Animaux,1,,,
Masques,1,,,
Espaces de repos,1,,,
Musée,1,,,
