catégorie,Nbre_de_services,Service fermé,Part de service fermé,ouvert
Permanence juridique,238,160.0,67.2,78.0
Accompagnement social,215,87.0,40.5,128.0
Activités,182,104.0,57.1,78.0
Conseil administratif,170,76.0,44.7,94.0
Accompagnement à l'emploi,153,48.0,31.4,105.0
Formation français,114,73.0,64.0,41.0
Psychologie,104,24.0,23.1,80.0
Conseil logement,102,38.0,37.3,64.0
Soins enfants,74,10.0,13.5,64.0
Accueil de jour,68,37.0,54.4,31.0
Ordinateur,64,37.0,57.8,27.0
Soutien scolaire,62,41.0,66.1,21.0
Suivi grossesse,59,5.0,8.5,54.0
Ecrivain public,58,37.0,63.8,21.0
Vêtements,56,37.0,66.1,19.0
Atelier numérique,54,34.0,63.0,20.0
Domiciliation,51,2.0,3.9,49.0
Colis Alimentaire,50,32.0,64.0,18.0
Bibliothèque,49,25.0,51.0,24.0
Généraliste,48,3.0,6.2,45.0
Infirmerie,47,8.0,17.0,39.0
Addiction,40,12.0,30.0,28.0
Restauration assise,38,15.0,39.5,23.0
Epicerie AideSociale,24,13.0,54.2,11.0
Douche,22,10.0,45.5,12.0
Hébergement à long terme,22,,,
Dentaire,21,2.0,9.5,19.0
Chantier d'insertion,20,3.0,15.0,17.0
Conseil handicap,19,1.0,5.3,18.0
Dépistage,18,9.0,50.0,9.0
Sport,17,9.0,52.9,8.0
Distribution alimentaire,17,13.0,76.5,4.0
Prise,16,7.0,43.8,9.0
Laverie,15,6.0,40.0,9.0
Hébergement d'urgence,14,,,
Bien-être,12,8.0,66.7,4.0
Magasin solidaire,10,6.0,60.0,4.0
Téléphones,8,7.0,87.5,1.0
Vaccination,7,2.0,28.6,5.0
Garde d'enfants,6,1.0,16.7,5.0
Bagagerie,6,1.0,16.7,5.0
Numérisation de documents,6,1.0,16.7,5.0
Logement bas prix,3,,,
Musée,1,,,
Protections périodiques,1,,,
