catégorie,Nbre_de_services,Service fermé,Part de service fermé,ouvert
Activités,89,53.0,59.6,36.0
Accompagnement social,65,8.0,12.3,57.0
Accompagnement à l'emploi,61,13.0,21.3,48.0
Conseil administratif,52,13.0,25.0,39.0
Colis Alimentaire,36,10.0,27.8,26.0
Formation français,35,22.0,62.9,13.0
Hébergement à long terme,34,,,
Ordinateur,31,6.0,19.4,25.0
Vêtements,27,9.0,33.3,18.0
Accueil de jour,24,12.0,50.0,12.0
Prise,24,5.0,20.8,19.0
Permanence juridique,23,7.0,30.4,16.0
Atelier numérique,22,10.0,45.5,12.0
Bibliothèque,19,4.0,21.1,15.0
Restauration assise,18,9.0,50.0,9.0
Magasin solidaire,16,5.0,31.2,11.0
Soutien scolaire,15,9.0,60.0,6.0
Psychologie,15,5.0,33.3,10.0
Chantier d'insertion,14,,,
Généraliste,13,2.0,15.4,11.0
Domiciliation,13,1.0,7.7,12.0
Infirmerie,11,2.0,18.2,9.0
Distribution alimentaire,11,5.0,45.5,6.0
Dépistage,11,5.0,45.5,6.0
Douche,10,2.0,20.0,8.0
Garde d'enfants,9,3.0,33.3,6.0
Sport,9,3.0,33.3,6.0
Conseil logement,9,2.0,22.2,7.0
Protections périodiques,8,3.0,37.5,5.0
Hébergement d'urgence,8,,,
Laverie,7,1.0,14.3,6.0
Addiction,7,,,
Bien-être,6,1.0,16.7,5.0
Logement bas prix,6,,,
Conseil handicap,6,1.0,16.7,5.0
Suivi grossesse,6,2.0,33.3,4.0
Animaux,6,,,
Bagagerie,4,1.0,25.0,3.0
Vaccination,4,2.0,50.0,2.0
Téléphones,4,2.0,50.0,2.0
Soins enfants,4,1.0,25.0,3.0
Ecrivain public,4,2.0,50.0,2.0
Epicerie AideSociale,3,3.0,100.0,0.0
Numérisation de documents,3,1.0,33.3,2.0
Espaces de repos,2,,,
Dentaire,2,1.0,50.0,1.0
Halte de nuit,1,1.0,100.0,0.0
Musée,1,1.0,100.0,0.0
Vétérinaire,1,,,
Masques,1,,,
