catégorie,Nbre_de_services,Service fermé,Part de service fermé,ouvert
Conseil administratif,256,35.0,13.7,221.0
Accompagnement social,246,22.0,8.9,224.0
Activités,170,42.0,24.7,128.0
Domiciliation,115,2.0,1.7,113.0
Accompagnement à l'emploi,112,38.0,33.9,74.0
Psychologie,106,25.0,23.6,81.0
Permanence juridique,103,30.0,29.1,73.0
Ordinateur,85,13.0,15.3,72.0
Formation français,74,24.0,32.4,50.0
Soins enfants,68,14.0,20.6,54.0
Colis Alimentaire,68,33.0,48.5,35.0
Accueil de jour,53,9.0,17.0,44.0
Infirmerie,51,2.0,3.9,49.0
Soutien scolaire,50,14.0,28.0,36.0
Conseil handicap,45,3.0,6.7,42.0
Suivi grossesse,44,3.0,6.8,41.0
Bibliothèque,43,10.0,23.3,33.0
Vêtements,41,14.0,34.1,27.0
Conseil logement,39,17.0,43.6,22.0
Ecrivain public,38,10.0,26.3,28.0
Atelier numérique,36,11.0,30.6,25.0
Magasin solidaire,28,10.0,35.7,18.0
Généraliste,24,8.0,33.3,16.0
Dépistage,22,2.0,9.1,20.0
Addiction,20,3.0,15.0,17.0
Vaccination,17,2.0,11.8,15.0
Restauration assise,15,3.0,20.0,12.0
Distribution alimentaire,14,5.0,35.7,9.0
Epicerie AideSociale,14,6.0,42.9,8.0
Sport,13,3.0,23.1,10.0
Douche,12,3.0,25.0,9.0
Bien-être,9,4.0,44.4,5.0
Chantier d'insertion,9,,,
Laverie,8,2.0,25.0,6.0
Prise,7,4.0,57.1,3.0
Dentaire,2,1.0,50.0,1.0
Numérisation de documents,2,,,
Bagagerie,2,1.0,50.0,1.0
Téléphones,1,,,
Garde d'enfants,1,1.0,100.0,0.0
Espaces de repos,1,1.0,100.0,0.0
Hébergement d'urgence,1,,,
