catégorie,Nbre_de_services,Service fermé,Part de service fermé,ouvert
Activités,62,2.0,3.2,60.0
Conseil administratif,60,2.0,3.3,58.0
Accompagnement à l'emploi,58,1.0,1.7,57.0
Permanence juridique,57,,,
Accompagnement social,51,1.0,2.0,50.0
Domiciliation,37,,,
Conseil handicap,34,,,
Psychologie,29,1.0,3.4,28.0
Ordinateur,27,,,
Addiction,14,1.0,7.1,13.0
Conseil logement,13,,,
Formation français,10,1.0,10.0,9.0
Accueil de jour,9,,,
Epicerie AideSociale,8,4.0,50.0,4.0
Distribution alimentaire,8,1.0,12.5,7.0
Laverie,8,,,
Infirmerie,8,1.0,12.5,7.0
Ecrivain public,8,,,
Colis Alimentaire,7,1.0,14.3,6.0
Douche,7,,,
Généraliste,6,,,
Vêtements,5,,,
Restauration assise,4,,,
Bibliothèque,4,,,
Prise,4,,,
Soutien scolaire,3,,,
Suivi grossesse,3,,,
Téléphones,2,,,
Sport,2,,,
Bien-être,2,,,
Soins enfants,2,,,
Chantier d'insertion,2,,,
Protections périodiques,2,,,
Magasin solidaire,2,,,
Bagagerie,2,,,
Dentaire,1,1.0,100.0,0.0
Vaccination,1,1.0,100.0,0.0
Dépistage,1,,,
