catégorie,Nbre_de_services,Service fermé,Part de service fermé,ouvert
Accompagnement social,210,52.0,24.8,158.0
Activités,201,96.0,47.8,105.0
Conseil administratif,176,64.0,36.4,112.0
Accompagnement à l'emploi,170,41.0,24.1,129.0
Permanence juridique,162,76.0,46.9,86.0
Soins enfants,128,27.0,21.1,101.0
Formation français,128,90.0,70.3,38.0
Suivi grossesse,124,28.0,22.6,96.0
Psychologie,103,33.0,32.0,70.0
Colis Alimentaire,90,56.0,62.2,34.0
Ordinateur,76,28.0,36.8,48.0
Généraliste,68,11.0,16.2,57.0
Ecrivain public,67,42.0,62.7,25.0
Domiciliation,60,4.0,6.7,56.0
Infirmerie,58,12.0,20.7,46.0
Soutien scolaire,57,42.0,73.7,15.0
Atelier numérique,49,32.0,65.3,17.0
Vêtements,46,19.0,41.3,27.0
Distribution alimentaire,41,8.0,19.5,33.0
Vaccination,39,7.0,17.9,32.0
Conseil handicap,39,1.0,2.6,38.0
Dentaire,36,8.0,22.2,28.0
Dépistage,33,11.0,33.3,22.0
Bibliothèque,32,10.0,31.2,22.0
Conseil logement,27,7.0,25.9,20.0
Douche,25,5.0,20.0,20.0
Restauration assise,25,6.0,24.0,19.0
Bien-être,24,8.0,33.3,16.0
Accueil de jour,24,5.0,20.8,19.0
Sport,24,7.0,29.2,17.0
Addiction,21,5.0,23.8,16.0
Epicerie AideSociale,21,9.0,42.9,12.0
Laverie,20,5.0,25.0,15.0
Magasin solidaire,18,6.0,33.3,12.0
Chantier d'insertion,11,2.0,18.2,9.0
Garde d'enfants,11,8.0,72.7,3.0
Prise,9,4.0,44.4,5.0
Musée,7,2.0,28.6,5.0
Bagagerie,6,1.0,16.7,5.0
Téléphones,5,1.0,20.0,4.0
Hébergement à long terme,4,,,
Hébergement d'urgence,2,,,
Protections périodiques,2,2.0,100.0,0.0
Espaces de repos,1,,,
Logement bas prix,1,,,
Masques,1,1.0,100.0,0.0
Numérisation de documents,1,,,
