catégorie,Nbre_de_services,Service fermé,Part de service fermé,ouvert
Accompagnement social,289,41.0,14.2,248.0
Conseil administratif,206,29.0,14.1,177.0
Domiciliation,149,14.0,9.4,135.0
Conseil handicap,144,15.0,10.4,129.0
Activités,125,42.0,33.6,83.0
Accompagnement à l'emploi,98,18.0,18.4,80.0
Magasin solidaire,79,26.0,32.9,53.0
Ordinateur,72,16.0,22.2,56.0
Permanence juridique,67,19.0,28.4,48.0
Formation français,66,28.0,42.4,38.0
Vêtements,59,24.0,40.7,35.0
Colis Alimentaire,55,23.0,41.8,32.0
Distribution alimentaire,55,25.0,45.5,30.0
Conseil logement,46,6.0,13.0,40.0
Chantier d'insertion,44,7.0,15.9,37.0
Psychologie,43,18.0,41.9,25.0
Atelier numérique,43,18.0,41.9,25.0
Addiction,37,5.0,13.5,32.0
Accueil de jour,36,8.0,22.2,28.0
Soutien scolaire,30,16.0,53.3,14.0
Sport,29,15.0,51.7,14.0
Prise,29,4.0,13.8,25.0
Restauration assise,29,13.0,44.8,16.0
Bien-être,26,10.0,38.5,16.0
Bibliothèque,22,10.0,45.5,12.0
Généraliste,17,2.0,11.8,15.0
Epicerie AideSociale,15,6.0,40.0,9.0
Hébergement à long terme,13,1.0,7.7,12.0
Dépistage,13,4.0,30.8,9.0
Infirmerie,11,1.0,9.1,10.0
Douche,10,,,
Laverie,9,2.0,22.2,7.0
Vaccination,7,1.0,14.3,6.0
Suivi grossesse,7,,,
Hébergement d'urgence,7,,,
Soins enfants,6,2.0,33.3,4.0
Téléphones,6,2.0,33.3,4.0
Ecrivain public,6,2.0,33.3,4.0
Musée,4,,,
Dentaire,4,2.0,50.0,2.0
Bagagerie,4,,,
Halte de nuit,2,,,
Espaces de repos,1,,,
Animaux,1,,,
Vétérinaire,1,,,
Masques,1,1.0,100.0,0.0
Protections périodiques,1,1.0,100.0,0.0
Numérisation de documents,1,,,
