catégorie,Nbre_de_services,Service fermé,Part de service fermé,ouvert
Conseil administratif,89,18.0,20.2,71.0
Accompagnement social,62,10.0,16.1,52.0
Domiciliation,53,1.0,1.9,52.0
Conseil handicap,52,1.0,1.9,51.0
Colis Alimentaire,52,23.0,44.2,29.0
Activités,44,21.0,47.7,23.0
Vêtements,39,20.0,51.3,19.0
Accompagnement à l'emploi,24,,,
Formation français,21,10.0,47.6,11.0
Conseil logement,16,1.0,6.2,15.0
Soutien scolaire,12,6.0,50.0,6.0
Psychologie,9,,,
Permanence juridique,9,1.0,11.1,8.0
Accueil de jour,7,2.0,28.6,5.0
Addiction,6,,,
Laverie,5,2.0,40.0,3.0
Restauration assise,5,1.0,20.0,4.0
Epicerie AideSociale,5,1.0,20.0,4.0
Ecrivain public,4,,,
Distribution alimentaire,4,2.0,50.0,2.0
Magasin solidaire,3,3.0,100.0,0.0
Douche,3,,,
Généraliste,1,1.0,100.0,0.0
Ordinateur,1,1.0,100.0,0.0
Chantier d'insertion,1,,,
Bibliothèque,1,,,
Atelier numérique,1,,,
