catégorie,Nbre_de_services,Service fermé,Part de service fermé,ouvert
Accompagnement social,111,17.0,15.3,94.0
Accompagnement à l'emploi,76,16.0,21.1,60.0
Activités,55,20.0,36.4,35.0
Formation français,47,38.0,80.9,9.0
Psychologie,46,11.0,23.9,35.0
Soins enfants,44,12.0,27.3,32.0
Conseil administratif,38,4.0,10.5,34.0
Suivi grossesse,37,8.0,21.6,29.0
Conseil logement,28,2.0,7.1,26.0
Ordinateur,27,5.0,18.5,22.0
Distribution alimentaire,24,9.0,37.5,15.0
Vêtements,20,5.0,25.0,15.0
Addiction,20,5.0,25.0,15.0
Permanence juridique,19,3.0,15.8,16.0
Atelier numérique,17,9.0,52.9,8.0
Accueil de jour,14,2.0,14.3,12.0
Epicerie AideSociale,13,2.0,15.4,11.0
Colis Alimentaire,13,4.0,30.8,9.0
Bibliothèque,13,4.0,30.8,9.0
Infirmerie,13,2.0,15.4,11.0
Généraliste,12,4.0,33.3,8.0
Restauration assise,11,2.0,18.2,9.0
Ecrivain public,11,6.0,54.5,5.0
Magasin solidaire,11,2.0,18.2,9.0
Douche,11,2.0,18.2,9.0
Soutien scolaire,10,4.0,40.0,6.0
Domiciliation,10,,,
Chantier d'insertion,9,1.0,11.1,8.0
Dépistage,9,1.0,11.1,8.0
Vaccination,7,,,
Laverie,7,2.0,28.6,5.0
Téléphones,6,,,
Conseil handicap,5,,,
Bagagerie,4,1.0,25.0,3.0
Sport,4,,,
Hébergement à long terme,2,,,
Hébergement d'urgence,2,,,
Prise,1,1.0,100.0,0.0
Garde d'enfants,1,1.0,100.0,0.0
Espaces de repos,1,,,
