catégorie,Nbre_de_services,Service fermé,Part de service fermé,ouvert
Accompagnement social,316,81.0,25.6,235.0
Activités,253,136.0,53.8,117.0
Conseil administratif,137,24.0,17.5,113.0
Accompagnement à l'emploi,101,37.0,36.6,64.0
Psychologie,80,15.0,18.8,65.0
Ordinateur,73,36.0,49.3,37.0
Permanence juridique,69,27.0,39.1,42.0
Distribution alimentaire,66,39.0,59.1,27.0
Vêtements,60,34.0,56.7,26.0
Bibliothèque,57,36.0,63.2,21.0
Colis Alimentaire,56,31.0,55.4,25.0
Formation français,53,31.0,58.5,22.0
Atelier numérique,46,29.0,63.0,17.0
Magasin solidaire,40,21.0,52.5,19.0
Généraliste,40,10.0,25.0,30.0
Bien-être,39,20.0,51.3,19.0
Soutien scolaire,33,16.0,48.5,17.0
Restauration assise,32,18.0,56.2,14.0
Accueil de jour,31,16.0,51.6,15.0
Addiction,30,1.0,3.3,29.0
Conseil logement,27,4.0,14.8,23.0
Epicerie AideSociale,26,13.0,50.0,13.0
Soins enfants,24,1.0,4.2,23.0
Suivi grossesse,21,1.0,4.8,20.0
Sport,21,16.0,76.2,5.0
Prise,20,9.0,45.0,11.0
Ecrivain public,20,9.0,45.0,11.0
Douche,19,8.0,42.1,11.0
Conseil handicap,18,1.0,5.6,17.0
Infirmerie,16,3.0,18.8,13.0
Dépistage,15,6.0,40.0,9.0
Domiciliation,14,3.0,21.4,11.0
Hébergement à long terme,14,1.0,7.1,13.0
Laverie,13,8.0,61.5,5.0
Chantier d'insertion,13,1.0,7.7,12.0
Vaccination,7,2.0,28.6,5.0
Téléphones,7,1.0,14.3,6.0
Logement bas prix,6,,,
Dentaire,6,,,
Musée,6,,,
Bagagerie,6,1.0,16.7,5.0
Hébergement d'urgence,5,,,
Protections périodiques,1,1.0,100.0,0.0
Garde d'enfants,1,,,
Masques,1,,,
Espaces de repos,1,1.0,100.0,0.0
Vétérinaire,1,1.0,100.0,0.0
